Job Title,Company,Location,Salary Estimate,Job Description,Job Age
AI Engineer (Catalyst),Fifth Dimension,"London, England",£200K (Employer provided),"Build and evolve our AI intelligence platform—from agentic workflows and evaluation infrastructure to the UI/UX that puts AI capabilities in customers’ hands.&hellip;
      
        Skills: Software deployment, Google Cloud Platform, APIs, TypeScript, Python",20d
AI Software Engineer,Zone&Co.,"Manchester, England",£42K - £70K (Glassdoor est.),"You'll collaborate closely with product, data science, and engineering teams to build scalable, production-ready AI systems that deliver real business value.&hellip;
      
        Skills: Azure, Oracle, Relational databases, NetSuite, English",30d+
Software Engineer (Applied AI),Euphoric Colors,"London, England",£90K - £110K (Employer provided),"Industry Experience (2+ years): Prior experience contributing to impactful products in fast-paced or startup environments, with an understanding of both scale…&hellip;
      
        Skills: Azure, React, Google Cloud Platform, AWS, REST",30d+
AI Engineer,Hadean,"London, England",£61K - £84K (Glassdoor est.),"An interest in travelling to support customer deployments, hackathons, and industry events - getting your work in front of real users, fast.&hellip;
      
        Skills: Rust (programming language), Military, C++, Distributed systems, Mentoring",27d
Senior AI Engineer (Internal Automations),Lendable (UK),"London, England",£60K - £97K (Glassdoor est.),"Build templates, guardrails and building blocks that make it easy for non-engineers to experiment safely. Build the best technology in-house, using new data…&hellip;
      
        Skills: Jira, Kubernetes, AWS, Machine learning, Confluence",30d+
Software Engineer AI/ML Networking,Google,"Durham, England",£147K - £211K (Employer provided),"2 years of experience with software development in C++, or 1 year of experience with an advanced degree. We're looking for engineers who bring fresh ideas from…&hellip;
      
        Skills: Operating systems, Data structures, C++, Machine learning, Distributed systems",18d
Machine Learning Engineer - Gen AI,Trainline,"London, England",£70K - £75K (Employer provided),"We’re building agentic systems such as our Travel Assistant, an AI-powered experience that helps customers with refunds, journey updates, and ticket conditions…&hellip;
      
        Skills: Cloud infrastructure, DevOps, AWS, Docker, Machine learning",30d+
AI & Optimization Engineer (100% Remote),Tether.to,"London, England",£45K - £68K (Glassdoor est.),"Experience deploying, monitoring, maintaining AI models into production systems including handling model drift and evolving operating conditions.&hellip;
      
        Skills: TensorFlow, Node.js, Signal processing, English, Docker",8d
Software Engineer (AI System),PangaeaData.AI,"London, England",£61K - £100K (Glassdoor est.),"With university qualification (Bachelors, Masters, Doctorate) who have completed at least two years of university study in Computer Science, Informatics, Data…&hellip;
      
        Skills: Azure, Node.js, Kubernetes, English, Microservices",30d+
"Associate, AI Engineer",Pantheon Ventures,"London, England",£66K - £94K (Glassdoor est.),"Design controls including access management, data handling safeguards, transparency, and human-in-the-loop considerations aligned to the risk profile of each…&hellip;
      
        Skills: TensorFlow, Authentication, Azure, Machine learning, Deep learning",30d+
AI Inference Engineer QVAC (100% remote Worldwide),Tether.to,"London, England",£65K - £110K (Glassdoor est.),"Integrate AI features into existing products, enriching them with the latest advancements in machine learning.&hellip;
      
        Skills: Cloud infrastructure, Software deployment, English, C++, Machine learning",30d+
AI Solutions Engineer,Relief International,"London, England",£71K - £95K (Glassdoor est.),"Our team of more than 5,000 staff and local volunteers work in countries across Africa, Asia, and the Middle East, providing Health and Nutrition, WASH (Water,…&hellip;
      
        Skills: Azure, Confluence, SharePoint, AI",15d
"Research Engineer, Evaluations, Applied AI",LILT - Lega Italiana per la Lotta conto i Tumori,"London, England",£48K - £123K (Glassdoor est.),"At least one of: a portfolio of research contributions, an example of evals or “model-breaking” samples, or use of open-source AI evaluation tools.&hellip;
      
        Skills: Multilingual, Salesforce, GitHub, AI, Python",30d+
